€time,temp,humi,press,soilMois,soilTemp,winSpeed,winDirect,rain
152171,24,49,1047,50,255,23,0,???,0.043999999999999994        
214180,24,49,1047,20,255,22,0,???,0.043999999999999994        
276149,24,48,1047,19,255,22,0,???,0.043999999999999994        
338113,24,48,1047,11,8,22,0,E,0.055                           
400156,24,48,1047,15,255,22,0,???,0.077000000000000001        
462202,24,47,1047,236,255,23,1.3404825737265415,???,0.077000000000000001                      
524244,26,45,1047,251,255,21,0,???,0.077000000000000001       
586457,26,43,1047,252,255,21,0,???,0.077000000000000001       
648510,27,42,1047,251,8,21,0,???,0.077000000000000001         
710567,27,42,1047,227,8,21,0.67024128686327077,???,0.11       
772489,27,43,1047,227,255,20,0.33512064343163538,SW,0.11      
834433,27,43,1047,240,255,20,0,???,0.11                       
896719,27,42,1047,232,8,20,0,???,0.11                         
959086,27,42,1047,230,25,20,0,???,0.11                        
1021233,27,42,1047,230,255,19,1.0053619302949061,???,0.11     
1083230,27,42,1047,230,255,19,0.33512064343163538,???,0.11    
1145142,27,42,1047,230,255,20,0.33512064343163538,???,0.11    
1207049,27,42,1047,230,255,20,0.67024128686327077,???,0.11    
1268956,27,42,1047,231,255,20,0.67024128686327077,???,0.11    
1330869,27,42,1047,232,255,21,0,N,0.11                        
1392977,27,41,1047,232,148,21,0,???,0.11                      
1455033,27,41,1047,232,255,22,0.67024128686327077,SE,0.11     
1517040,27,41,1047,233,255,22,0.67024128686327077,???,0.11    
1578953,27,41,1047,233,255,20,1.0053619302949061,???,0.11     
1640864,27,41,1047,232,255,19,0.33512064343163538,???,0.11    
1702776,27,40,1047,232,255,19,1.3404825737265415,NE,0.11      
1764720,27,40,1047,232,255,19,1.3404825737265415,???,0.11     
1826634,27,40,1047,231,255,19,2.0107238605898123,NE,0.11      
1888551,27,39,1047,231,255,19,1.3404825737265415,???,0.11     
1950463,27,38,1047,231,255,19,1.0053619302949061,???,0.11     
2012375,27,38,1047,231,255,19,0,SW,0.11                       
2074358,27,39,1047,232,255,19,1.0053619302949061,N,0.11       
2136279,27,38,1047,232,255,19,0.33512064343163538,???,0.11    
2198510,27,38,1047,233,817,19,0.67024128686327077,???,0.11    
2260426,27,38,1047,233,255,19,1.3404825737265415,???,0.11     
2322339,27,38,1047,234,255,19,1.3404825737265415,???,0.11     
2384248,27,38,1047,235,255,19,1.3404825737265415,NE,0.11      
2446167,27,37,1047,235,255,19,1.0053619302949061,???,0.11     
2508077,28,36,1047,238,255,19,0.33512064343163538,???,0.11    
2569989,28,36,1047,238,255,19,0.33512064343163538,N,0.11      
2631903,28,36,1047,239,255,19,2.0107238605898123,???,0.11     
2693809,29,35,1047,237,255,19,0,???,0.11                      
2755920,29,35,1047,238,814,19,1.0053619302949061,???,0.11     
2817872,29,35,1047,237,814,19,0.67024128686327077,???,0.11    
2879833,29,35,1047,236,816,19,1.0053619302949061,???,0.11     
2941744,29,35,1047,236,255,19,1.0053619302949061,???,0.11     
3003657,30,35,1047,236,255,19,0.33512064343163538,???,0.11    
3065695,30,34,1047,235,255,19,0.67024128686327077,SE,0.11     
3127647,30,34,1047,235,814,19,0.33512064343163538,???,0.11    
3189684,30,34,1047,235,255,19,0.33512064343163538,???,0.11    
3251592,30,34,1047,235,255,19,0,SE,0.11                       
3313570,30,34,1047,235,255,19,0.67024128686327077,???,0.11    
3375542,30,34,1047,235,255,19,0.67024128686327077,???,0.11    
3437494,30,34,1047,235,255,19,1.0053619302949061,???,0.11     
3499566,30,34,1047,235,814,19,0.33512064343163538,???,0.11    
3561480,30,34,1047,235,255,19,0.33512064343163538,???,0.11    
3623552,30,34,1047,234,255,19,0.67024128686327077,???,0.11    
3685459,30,34,1047,234,255,19,0.67024128686327077,???,0.11    
3747372,30,34,1047,234,255,19,0,???,0.11                      
3809349,30,34,1047,234,255,19,1.0053619302949061,???,0.11     
3871260,30,34,1047,234,255,19,0.67024128686327077,???,0.11    
3933171,30,34,1047,234,255,19,1.0053619302949061,???,0.11     
3995120,29,33,1047,235,255,19,0.33512064343163538,???,0.11    
4057029,30,34,1047,236,255,19,0.33512064343163538,???,0.11    
4118935,30,33,1047,237,255,19,0.33512064343163538,???,0.11    
4180887,30,32,1047,239,255,19,0.33512064343163538,???,0.11    
4242889,30,32,1047,240,815,19,1.3404825737265415,???,0.11     
4304865,31,32,1047,241,815,19,1.0053619302949061,???,0.11     
4366945,31,31,1047,239,816,19,1.6756032171581769,???,0.11     
4428859,31,31,1047,239,255,19,1.3404825737265415,???,0.11     
4490771,31,31,1047,239,255,19,0.33512064343163538,???,0.11    
4552683,32,31,1047,238,255,19,0.33512064343163538,???,0.11    
4614596,32,31,1047,237,255,19,0.33512064343163538,???,0.11    
4676511,32,31,1047,236,255,19,2.0107238605898123,???,0.11     
4738462,32,31,1047,236,255,19,0.33512064343163538,???,0.11    
4800568,32,32,1047,236,255,19,0.33512064343163538,???,0.11    
4862618,31,32,1047,236,255,19,1.0053619302949061,???,0.11     
4924565,31,32,1047,235,255,19,0.33512064343163538,???,0.11    
4986517,31,32,1047,236,815,19,0.33512064343163538,???,0.11    
5048593,31,32,1047,236,255,19,1.0053619302949061,???,0.11     
